Strength,力量
"Invigorating Blaze",欢欣炽炎
Cauterisation,焰灼血肉
"Recovery Mastery",回复专精
"Protection Mastery",防护专精
"Warden of the Maji",众神守望者
"Coated Blade",涂抹小刀
"Nature's Concoction",自然灵药
"Intensifying Suffusion",增幅弥散
"Wildwood Blessing",荒林祝福
"Lesson of the Seasons",四季之训
"Oath of the Maji",众神之誓
"Detect Evil",追缉邪恶
"Vivid Wisps found",寻找活性鬼灵
"Warlock of the Mists",迷雾术士
Sanguimancy,滴血为咒
"Crimson Power",腥红之力
"Cannibalised Faith",蚕食信仰
"Soul Splitting",灵魂裂解
"Creeping Lobotomy",悚然切除
"Choir of the Damned",诅咒合颂
"Black Mass",黑暗布道
"Warlock Power",术士之力
"Foul Pact",邪秽契约
"Blood Hunt",猎血寻腥
"Wild Wisps found",寻找狂野鬼灵
"Wildwood Primalist",荒林原初者
"Might of the Bear",伟岸熊威
"Charm Socket",咒符插槽
"Howl of the Wolf",惊魂狼啸
"Primal Wisps found",寻找原始鬼灵
"Warlord's Call",督军的号召
"Mana and Increased Mana Cost",魔力和提高魔力消耗
"Flask Duration",药剂持续时间
Attribute,属性
"Crystalline Resistance",结晶抗性
"Gem Enthusiast",宝石爱好者
"All Attributes",所有属性
"Crystallised Immunities",水晶免疫
"Brute Strength",蛮力
Ingenuity,奇思妙想
Polymathy,博闻广记
"Reduced Attribute Requirements",降低属性需求
"Jack of all Trades",万事通
"Quarterstaff Stun and Knockback",节杖昏迷和击退
"Quarterstaff Freeze and Daze Buildup",节杖冻结和恍惚积蓄
"Quarterstaff Speed",节杖速度
"Whirling Assault",旋风击
"Quarterstaff Critical Chance",节杖暴击率
"One with the Storm",身随狂岚
"Quarterstaff Critical Damage",节杖暴击伤害
"Martial Artistry",武艺之相
"Dagger Speed",匕首速度
"Dagger Critical Chance",匕首暴击率
"Silent Shiv",暗里藏刀
"Dagger Critical Damage",匕首暴击伤害
"Coated Knife",涂毒锋刃
"Trap Throw Speed",陷阱投掷速度
"Trap Critical Chance",陷阱暴击率
"Devestating Devices",毁灭装置
"Bow Critical Damage",弓类暴击伤害
"Bow Accuracy Rating",弓类命中值
"Feathered Fletching",飞羽流矢
Sniper,狙击手
"Bow Speed",弓类速度
"Pierce the Heart",贯心而过
"Spear Critical Chance",战矛暴击率
"Spear Damage",战矛伤害
Javelin,标枪
"Spear Attack Speed",战矛攻击速度
"Spear Accuracy",战矛命中
"Focused Thrust",专注刺击
"Precise Point",精确要点
"Roll and Strike",滚滚攻势
"Block and Damage Taken from Blocked Hits",格挡与受到格挡击中的伤害
"Glancing Hits",擦身而过
"Parried Duration",招架持续时间
"Stun Threshold during Parry",招架期间晕眩阈值
"Shield Evasion",盾牌闪避
Reprisal,报偿
"Resolute Reprisal",坚决回敬
"Projectile Parry Range",投射物招架距离
"Evasion during Parry",招架期间闪避
"Heavy Blade",重刃无锋
"Sword Speed",剑类速度
"Ripping Blade",裂伤之刃
"Stance Breaker",架势破除
"Lay Siege",重重围困
"Greatest Defence",卓绝防御
"Wide Barrier",宽广屏障
"Core of the Guardian",守护者的核心
"Shield Damage from Shield Defences",盾牌防御与伤害
"Defensive Stance",防御姿态
Vigilance,警戒
"Shield Attack Speed",盾牌攻击速度
"Defensive Reflexes",戒备反射
"Block and Movement Penalty with Raised Shield",举盾时的格挡和移动惩罚
"Movement Penalty with Raised Shield",举盾时的移动惩罚
"Block and Stun Threshold",格挡和晕眩阈值
"Dazing Blocks",恍惚格挡
"Steadfast Resolve",坚定决心
"Maximum Block",极限格挡
"Frightening Shield",慑魂之盾
"Crossbow Damage",战弩伤害
"Crossbow Critical Chance",战弩暴击率
"Power Shots",强能重射
"Grenade Damage",榴弹伤害
"Repeating Explosives",连环炸药
"Crossbow Reload Speed",战弩装填速度
"Rapid Reload",快速装填
"Reusable Ammunition",复用式弹药
"Full Salvo",全弹发射
"Efficient Loading",高效装填
"Axe Rage on Hit",斧类击中时怒火
"Axe Attack Speed",斧类攻击速度
"Whirling Onslaught",旋风猛攻
"Enraged Reaver",暴怒收割者
"Mace Stun Buildup",锤类晕眩积蓄
Skullcrusher,迎头痛击
"Mace Damage and Stun Buildup",锤类伤害和晕眩积蓄
"Mace Aftershock Chance",锤类余震几率
"Split the Earth",撕裂大地
"Flail Damage",连枷伤害
"Ball and Chain",链球强袭
"Flail Critical Chance",连枷暴击率
"Morning Star",流星重锤
"Rattling Ball",破坏球
"Spiked Whip",尖刺长鞭
"Focus Energy Shield",法器能量护盾
"Curse Effect on Self",自身诅咒效果
"Warding Fetish",御敌神像
"Spell Damage on full Energy Shield",满能量护盾时法术伤害
Dreamcatcher,捕梦者
"One Handed Attack Speed",单手武器攻击速度
"Versatile Arms",全能神兵
"One Handed Accuracy",单手武器命中
"One Handed Critical Chance",单手武器暴击率
"Push the Advantage",乘势追击
Impair,妨害
"One Handed Ailment Chance",单手武器异常状态几率
"Coated Arms",涂层利器
"Two Handed Damage",双手武器伤害
"Singular Purpose",屠戮之械
"Two Handed Damage and Stun",双手武器伤害和晕眩
"Heavy Contact",势大力沉
"Colossal Weapon",巨神兵器
"Curved Weapon",曲刃战械
Shockwaves,震荡波
"Dual Wielding Damage",双持伤害
"Dual Wielding Accuracy",双持命中
"Cross Strike",顾应打击
"Dual Wielding Speed",双持速度
"Blade Flurry",刀刃乱舞
"Polished Iron",辉光之钢
"Armour and Applies to Fire Damage",护甲和对火焰伤害生效
Heatproof,绝热防护
"Projectile Bulwark",防弹坚壁
"Blade Catcher",空手入白刃
"Heavy Armour",全副武装
"Made to Last",经久不衰
"Sturdy Metal",刚毅金属
"Impenetrable Shell",不破之壳
"General's Bindings",将军的铁壁
"Armour and Applies to Cold Damage",护甲和对冰霜伤害生效
Chillproof,防冰缓
"Armour and  Applies to Lightning Damage",护甲和对闪电伤害生效
Shockproof,防感电
"Tempered Defences",钢化防御
"High Alert",高度戒备
"Escape Strategy",逃脱战术
"Careful Consideration",深谋远虑
"Slow Effect on You",受到的减速效果
"Deflection and Evasion",偏转和闪避
"Escape Velocity",动如脱兔
"Enhanced Reflexes",强化反射
"Beastial Skin",猛兽之肤
Afterimage,残影
"Leather Bound Gauntlets",皮缚手甲
"Catlike Agility",灵豹矫健
"Stun and Ailment Threshold from Energy Shield",能量护盾提供晕眩异常状态阈值
"Energy Shield Recharge",能量护盾充能
Calibration,校准
"Patient Barrier",坚忍屏障
"Enhanced Barrier",强化圣盾
"Dampening Shield",抑能护盾
"Heavy Buffer",高效缓冲
"Illuminated Crown",明光冠冕
"Strong Chin",强韧甲壳
"Backup Plan",后备方案
"Insulated Treads",绝能步伐
"Feel no Pain",不惧疼痛
"Tolerant Equipment",容错装备
"Evasion and Energy Shield Recharge",闪避和能量护盾充能
"Spectral Ward",魂灵结界
"Inner Faith",信仰存心
"Shadow Dancing",谜影舞步
Immaterial,超脱实体
Shimmering,光芒万丈
"Subterfuge Mask",诡计面纱
"Mindful Awareness",机警感知
"Ancient Aegis",上古神盾
"Adamant Recovery",顽强恢复
"Reinforced Barrier",加固屏障
"Spiral into Depression",困厄螺旋
"Armour Applies to Fire Damage Hits",护甲对火焰伤害生效
"Armour Applies to Cold Damage Hits",护甲对冰霜伤害生效
"Armour Applies to Lightning Damage Hits",护甲对闪电伤害生效
"Unnatural Resilience",超自然坚韧
"Prism Guard",棱彩卫士
"Reduced Movement Penalty",降低移动速度惩罚
"Ailment Threshold",异常状态阈值
Unhindered,无阻畅行
"Natural Immunity",天然免疫力
"Warm the Heart",温暖心扉
"Feel the Earth",感触大地
"Shedding Skin",蜕落外皮
"Energy Shield Delay",能量护盾延迟
"Mystic Stance",秘术姿态
"Quick Response",疾速响应
"Rapid Recharge",迅速充能
"Covering Ward",掩护结界
Refocus,能量重聚
"Dependable Ward",可靠结界
Convalescence,康复
"Energy Shield Recharge and Mana Flask Recovery",能量护盾充能和魔力药剂充能
"Arcane Mixtures",秘术灵药
"Energy Shield Recoup",能量护盾吸纳
"Storm Driven",风暴驱动
"Block and Shield Defences",格挡和盾牌防御
"Unstoppable Barrier",固若金汤
"Hunker Down",蓄势待发
"Towering Shield",耸立坚盾
"Defender's Resolve",守护者的决心
"Swift Blocking",迅捷格挡
"Spiked Shield",倒刺护盾
"Shield Expertise",盾牌专长
"Block Recovery",格挡回复
"Parry Damage",招架伤害
"Parry Stun Buildup",招架晕眩积蓄
"Swift Interruption",迅捷打断
"Flashy Parrying",飞速格挡
"Consistent Intake",均匀气息
Counterstancing,反击架势
"Glancing Deflection",斜掠偏转
"Brush Off",拂扫
"Deflection Rating",偏转值
"Enduring Deflection",持久偏转
"Avoiding Deflection",规避偏转
"Energising Deflection",充能偏转
"Evasion Rating",闪避值
"Staunch Deflection",坚定偏转
"Trained Deflection",受训偏转
"Mending Deflection",愈合偏转
Resolution,刚毅决心
"Titan's Determination",巨人的决意
Unbreaking,牢不可破
"Stun Threshold and Strength",晕眩阈值和力量
"Wary Dodging",谨慎闪躲
"Stun Threshold if no recent stun",近期未晕眩提供晕眩阈值
"Hefty Unit",魁梧壮士
"Stun Threshold and Evasion Rating",晕眩阈值和闪避值
Unbending,不屈之心
"Stun Threshold from Energy Shield",能量护盾提供晕眩阈值
"Austerity Measures",苦行节制
Asceticism,清心寡欲
"Self Mortification",自制禁欲
Hallowed,崇敬宗师
Abasement,屈辱
"Ailment Threshold from Energy Shield",能量护盾提供异常状态阈值
"Shimmering Mirage",闪烁幻影
"Eldritch Will",古灵意志
"Stun Threshold if not Stunned recently",近期未被晕眩提供晕眩阈值
"Briny Carapace",咸潮背甲
"Deft Recovery",轻捷回复
"Back in Action",重返战阵
"Fire Damage and Armour ","火焰伤害和护甲 "
"Fire Penetration",火焰穿透
"Molten Carapace",熔岩甲壳
"Ignite Magnitude on You",对你施加的点燃强度
"One With Flame",火焰一体
"Molten Being",熔岩化身
"Ignite Duration",点燃持续时间
"Melting Flames",熔化烈焰
"Self Immolation",自我献祭
"Freeze and Chill Resistance",冻结和冰缓抗性
"Embracing Frost",拥抱冰霜
"Slippery Ice",如履薄冰
Icebreaker,破冰者
"Electrocute Buildup",电殛积蓄
Electrocution,电殛
"Coursing Energy",喷流之能
"Electrocuting Exposure",电击曝露
"Mass Rejuvenation",春回大地
"Life Regeneration on Low Life",低血时生命恢复
"Desperate Times",绝处逢生
"Life Regeneration while Stationary",静止时生命恢复
"Resilient Soul",抗争之魂
"Thickened Arteries",粗实血脉
"Hard to Kill",不灭之躯
"Hale Heart",壮心不已
"Stand Ground",不动如山
"Life Leech. Armour and Evasion while Leeching",生命偷取，偷取时护甲和闪避
"Life Leech and Slower Leech",生命偷取和偷取减速
"Fortifying Blood",强韧血脉
Voracious,欲壑难填
Bloodthirsty,渴饮
Goring,淤血创痕
"Savoured Blood",血之回味
"Fast Metabolism",急速代谢
"Life Leech Speed",生命偷取速度
"Life Leech and Physical Damage",生命偷取和物理伤害
"Life Regeneration Rate",生命再生率
"Loose Flesh",松弛之躯
"Taut Flesh",紧绷之躯
"Heart Tissue",心源强健
"Pliable Flesh",坚韧血肉
"Glazed Flesh",光洁血肉
"Arcane Surge Effect and Life Regeneration",秘术增强效果和生命再生
"Life Regeneration Rate and Presence",生命再生率和在场
"Sanguimantic Rituals",赤红仪式
"Heartstopping Presence",凝心气息
"Life on Kill",击败获得生命
"Immortal Infamy",不朽英名
"Life Flasks",生命药剂
Refills,灌装
"Hale Traveller",强健旅行者
Reinvigoration,振奋活力
"Life Flask Charges",生命药剂充能
"Life Flask Charge Generation",生命药剂充能生成
Staunching,止血
"Life Flask Recovery",生命药剂回复
Succour,救济
"Heavy Drinker",鲸吞豪饮
"Rage on Hit",击中时怒火
"Blood of Rage",怒火之血
"Lavianga's Brew",拉维安加的佳酿
"Tukohama's Brew",图克哈玛的佳酿
"Efficient Alchemy",高效炼金术
"Flask and Charm Charges Gained",药剂和咒符充能获取
"Flask Recovery",药剂回复
Savouring,细细品味
"Life and Mana Flask Recovery",生命和魔力药剂回复
"Combat Alchemy",战斗炼金术
"Cautious Concoctions",谨慎调和物
"Critical Chance",暴击率
"Crashing Wave",溅水白浪
"Critical Damage",暴击伤害
"Damage on Critical",暴击伤害
"Cruel Fate",命运多舛
"Leaping Ambush",飞跃奇袭
"Direct Approach",直来直往
"For the Jugular",直取咽喉
"Critical Exploit",致命利用
"Spell Critical Damage",法术暴击伤害
"Moment of Truth",求真时刻
"Preemptive Strike",先发制人
Desensitisation,脱敏
Cooked,小菜一碟
"Deadly Force",夺命力量
Sundering,断离
Heartstopping,心悸
Heartbreaking,心伤
"Struck Through",穿身而过
"Attack Critical Damage",攻击暴击伤害
"Attack Critical Chance",攻击暴击率
"Critical Chance and Damage",暴击率与伤害
"Overwhelming Strike",压制打击
"Vulgar Methods",粗俗手段
"Barbaric Strength",蛮族之力
"Tainted Strike",污染打击
"Dispatch Foes",大卸八块
"Careful Assassin",谨慎的刺客
"Decisive Retreat",果断撤退
"Presence Area",在场范围
"Attack Speed and Flask Duration",攻击速度和药剂持续时间
"Blurred Motion",飞身残影
"Skill Speed",技能速度
"Tenfold Attacks",十重迅击
Stimulants,兴奋鼓舞
Reaving,掠袭如风
"Mass Hysteria",群体亢奋
"Falcon Technique",鹰隼之姿
"Sand in the Eyes",障目飞沙
"Deep Trance",深度专注
"Flow State",行云流水
"Blinding Flash",夺目眩光
"Blood Rush",血脉贲张
"Evasion Rating on Hit Recently",对近期击中的闪避值
"Agile Succession",灵敏连击
"Final Barrage",终结弹幕
"Casting Cascade",集联施法
Effervescent,沸熔
Overzealous,非凡狂热
"Spiral into Mania",癫狂螺旋
"Spell Haste",迅捷施法
"Practiced Signs",娴熟手法
Erraticism,古怪嗜好
"Mental Alacrity",敏捷思绪
"Hastening Barrier",疾速屏障
"Stun Buildup",晕眩积蓄
"Hulking Smash",笨重猛击
Titanic,泰坦意志
"Cranial Impact",裂颅强击
"Perfect Opportunity",完美机遇
"Shattering Blow",碎裂痛击
"Flip the Script",力挽狂澜
"Easy Target",活靶子
"Maximum Rage",怒火上限
"Rage when Hit",被击中时怒火
"Ignore Pain",无视痛苦
"Battle Trance",战斗迷神
"Prolonged Fury",怒火难平
"Later Rage Loss Start",怒火损失延迟开始
Unforgiving,愤火铭心
"Vengeful Fury",复仇之怒
"Sudden Infuriation",无名火起
"Bleeding Duration",流血持续时间
"Critical Bleeding Effect",暴击流血效果
"Bleeding Chance",流血几率
"Deep Wounds",深度创伤
"Bleeding Chance on Critical",暴击时流血几率
"Attack Damage vs Bleeding Enemies",对流血敌人的攻击伤害
"Perfectly Placed Knife",绝妙之刃
Aggravation,伤口恶化
"Bleeding Damage",流血伤害
"Bleeding Out",失血
Incision,创口
"Inevitable Rupture",注定的裂伤
"Rusted Pins",锈蚀钉刺
"Thousand Cuts",千创
"Staggering Wounds",错愕伤痕
"Incision Chance",创口几率
Knockback,击退
"Pin Buildup",定身积蓄
"Flammability Magnitude",易燃强度
"Flammability and Ignite Magnitude",易燃和点燃抗性
Immolation,焚化
"Slow Burn",缓慢灼烧
"Ignite Magnitude",点燃强度
Firestarter,引火
Burnout,焚尽
"Freeze Buildup",冻结积蓄
"Inescapable Cold",寒冬难避
Shattering,碎冰
"Chill Effect and Duration",冰缓效果和持续时间
"Chill and Freeze Duration",冰缓和冻结持续时间
"Chilled to the Bone",寒霜蚀骨
"Perpetual Freeze",永冻
"Lightning Skill Chain Chance",闪电技能连锁几率
"Shock Effect",感电效果
"Branching Bolts",分叉闪电
Frazzled,疲乏
"General Electric",通用电击
Drenched,浸湿
"Shock Duration",感电持续时间
Rattled,尖鸣电浪
"Harmonic Generator",谐波发生器
"Lightning Damage and Resistance",闪电伤害和抗性
"Conductive Embrace",电光之拥
"Poison Duration",中毒持续时间
"Escalating Toxins",渐强毒素
"Building Toxins",积聚毒素
"Crippling Toxins",致残毒素
"Leeching Toxins",汲命毒素
"Lasting Toxins",持久毒素
"Stacking Toxins",层叠毒素
"Toxic Tolerance",剧毒耐受
"Evasion if Consumed Frenzy Charge",若消耗狂怒球时闪避
"Recover Life on consuming Endurance Charge",消耗耐力球时回复生命
Guts,刚胆
Grit,刚毅
"Armour if Consumed Endurance Charge",消耗耐力球时提供护甲
"Critical Damage when consuming a Power Charge",消耗暴击球时暴击伤害
"Lust for Power",渴求力量
"Overflowing Power",泛滥神力
"The Power Within",力由心生
"Energy Shield if Consumed Power Charge",若消耗暴击球时能量护盾
"Empowered Attack Damage and Bleeding Chance",强化攻击伤害和流血几率
"Warcry Cooldown",战吼冷却
"Empowered Attack Damage",强化攻击伤害
"Warcry Damage",战吼伤害
Cacophony,刺耳怒吼
"Vocal Empowerment",言出力随
"Internal Bleeding",内出血
Bravado,双刃之力
"Deafening Cries",战吼如雷
"Guttural Roar",刺耳呐喊
"Warcry Power Counted",战吼威力计算
"Bolstering Yell",振奋呐喊
"Thirst of Kitava",奇塔弗的渴望
"Warcry Cooldown and Speed",战吼冷却和速度
"Urgent Call",紧急呼喊
"Empowered Attack Damage and Power Counted",强化攻击伤害和威力计算
"Roaring Cries",咆哮战吼
"Explosive Empowerment",爆炸强化
"Cremating Cries",焚化战吼
"Extinguishing Exhalation",镇火之息
"Inherited Strength ","继承力量 "
"Curse Activation Speed and Effect",诅咒激活速度和效果
"Impending Doom",末日将至
"Zone of Control",封锁区域
"Curse Area",诅咒范围
"Master of Hexes",魔蛊大师
"Fated End",命中注定
"Lingering Whispers",呢喃不散
"Decrepifying Curse",朽迈诅咒
"Supportive Ancestors",先祖援手
"Carved Earth",雕琢大地
"Totem Placement Speed",图腾放置速度
"Totem Life",图腾生命
"Ancestral Artifice",先祖的巧谋
"Ancestral Unity",先祖的团结
"Hardened Wood",硬化神木
"Spirit Bond",祖灵相依
"Ancestral Alacrity",先祖的敏锐
"Totem Cast and Attack Speed",图腾施放和攻击速度
"Totem Cast Speed",图腾施法速度
"Ancestral Conduits",先祖的传达
"Ancestral Mending",先祖的愈合
"Totem Attack Speed",图腾攻击速度
"Totem Elemental Resistance",图腾元素抗性
"Totem Physical Damage Reduction",图腾物理伤害减免
"Minion Area",召唤生物范围
"Deadly Swarm",死神沓来
"Lord of Horrors",惊怖主宰
"Splintering Force",分裂之劲
"Dead can Dance",亡魂舞步
"Relentless Fallen",无情陨落
"Minion Stun Buildup",召唤生物晕眩积蓄
"Right Hand of Darkness",黑暗的右臂
"Minion Critical Chance",召唤生物暴击率
"Grip of Evil",邪恶之握
"Necrotic Touch",通灵之触
"Minion Critical Damage",召唤生物暴击伤害
"Restless Dead",无宁之众
"Growing Swarm",成群结队
"Command Skill Damage",命令技能伤害
"Command Skill Cooldown",命令技能冷却
"At your Command",悉听遵命
Gravedigger,掘墓人
"Minion Revive Speed",召唤生物复活速度
"Minion Fire Resistance",召唤生物火焰抗性
"Necrotised Flesh",腐烂肉身
"Left Hand of Darkness",黑暗的左膀
"Crystalline Flesh",结晶之躯
Fleshcrafting,塑命巨匠
"Minion Lightning Resistance",召唤生物闪电抗性
"Minion Physical Damage Reduction",召唤生物物理伤害减免
"Minion Cold Resistance",召唤生物冰霜抗性
"Vile Mending",邪恶愈合
"Regenerative Flesh",再生躯体
"Living Death",鲜活亡躯
"Minion Revive Speed and Energy Shield Recharge",召唤生物复活速度和能量护盾充能
"Reformed Barrier",重组屏障
"Expendable Army",敢死大军
"Minion Duration",召唤生物持续时间
"Entropic Incarnation",熵能化身
"Gigantic Following",庞大侍从
"Unleash Seal Generation",释出封印获取
"Additional Spell Projectiles",额外法术投射物
Anticipation,秘术预知
"Lasting Incantations",持久咒言
"Potent Incantation",强力咒语
Spellblade,碎影魔刃
"Spell and Minion Damage",法术和召唤生物伤害
"Emboldening Lead",鼓舞先导
"Empowering Remains",强化残骸
"Melee Critical Chance",近战暴击率
"Rapid Strike",疾影打击
"Serrated Edges",锯齿锋缘
"Personal Touch",英姿勃发
"In Your Face",当头棒喝
Viciousness,穷凶极恶
"Unerring Impact",精准冲击
"Heavy Weaponry",重武神兵
"Reaching Strike",深远打击
"Deadly Flourish",致命剑花
Initiative,克敌在先
"Breaking Blows",破灭强击
Honourless,不念荣辱
"Melee Damage against Immobilised",对不可移动目标的近战伤害
Smash,碾碎
"Melee and Stun",近战和晕眩
"Ancestral Boosted Attack Damage and Stun",先祖加持攻击伤害和晕眩
"Ancestral Boosted Area and Damage",先祖加持范围和伤害
"Channelled Heritage",引导传承
"Guided Hand",引导之手
"Attack Damage and Movement Speed",攻击伤害和移动速度
"Attack Damage and Slow Effect",攻击伤害和减速效果
"Maiming Strike",瘫痪打击
"Attack Damage and Skill Duration",攻击伤害和技能持续时间
"Prolonged Assault",鏖战不息
"Blinding Strike",致盲打击
"Last Stand",背水一战
"Attack Damage with nearby Ally",周围有友军时攻击伤害
"Killer Instinct",杀手本能
"Presence Present",慑魂英气
"Unexpected Finesse",非凡矫健
"Attack Damage on Low Life",低血时攻击伤害
"Attack Damage while Surrounded",被包围时的攻击伤害
"Attack Damage if Stunned Recently",近期被晕眩时攻击伤害
"Attack Damage while no remaining Life Flasks",无生命药剂时攻击伤害
"Daze Chance",恍惚几率
"Concussive Attack",连续攻击
"Imbibed Power",吸收之力
"Forking Projectiles",分叉投射物
"Chaining Projectiles",连锁投射物
"Pierce Chance",穿透几率
"Projectile Speed",投射物速度
"Attack Area",攻击范围
"Projectile Damage if Melee Hit",近战击中时投射物伤害
"Melee Damage if Projectile Hit",投射物击中时近战伤害
"Adaptable Assault",灵活突袭
"Melee Stun Buildup",近战晕眩积蓄
"Projectile Stun Buildup",投射物晕眩积蓄
"Unleash Fire",火力倾泻
"Projectile Pierce",投射物穿透
"Kite Runner",追风筝的人
"Careful Aim",精确瞄准
"Heavy Ammunition",重装弹药
"Piercing Shot",穿射箭矢
Catapult,投石车
"Short Shot",近身射击
"Close Confines",一步之遥
Shrapnel,破片
"Advanced Munitions",尖端弹药
"Elemental Ailment Chance",元素异常状态几率
"Fire Damage and Area",火焰伤害与范围
"Damage against Burning Enemies",对燃烧的敌人的伤害
"Flammability Magnitude and Critical Chance",点燃与暴击率
"Critical Ignite Magnitude",暴击点燃效果
"Total Incineration",全面焚化
"Burning Nature",性如烈火
"Sigil of Fire",火焰法印
"Affliction Enforcer",腐化执行者
"Burn Away",焚灭
"Echoing Flames",回响烈焰
"Intense Flames",剧烈燃火
"Volcanic Skin",熔火皮肤
"Burning Strikes",燃烧打击
Incendiary,烈火焚烧
Fulmination,轰鸣烈焰
"Fire Damage and Flammability Magnitude",火焰伤害
"Archon of the Flame",火炎执政官
"Embodiment of Flame",火炎化身
"Archon Effect",执政官效果
"Cast Speed with Cold Skills",冰霜技能施法速度
"Cold and Fire Damage",冰霜和火焰伤害
"Cold Damage and Energy Shield Recharge Rate",冰霜伤害和能量护盾回复率
"Archon of the Blizzard",暴雪执政官
"Embodiment of Frost",冰霜化身
"Energy Shield as Freeze Threshold",能量护盾转为冻结阈值
"Unbothering Cold",无扰冰霜
"Cold Nature",性如寒冰
"Sigil of Ice",冰霜法印
"Thin Ice",如履薄冰
"Heavy Frost",深厚霜寒
"Elemental Force",元素之力
"Harsh Winter",凛冽寒冬
"Climate Change",气候变化
"Echoing Frost",回响冰霜
"Endless Blizzard",无尽暴风雪
"Essence of the Mountain",群山的精华
"Infused Spell Damage",灌注法术伤害
"Lightning Skill Speed",闪电技能速度
"Lightning Penetration",闪电穿透
"Shock Effect and Mana Regeneration",感电效果和魔力再生
"Pure Power",纯粹力量
"Electrifying Nature",性如霹雳
"Sigil of Lightning",闪电法印
"Power Conduction",力量传导
"Wild Storm",不羁雷暴
"Principal Infusion",主要灌注
"Flash Storm",迅闪雷暴
"Spreading Shocks",感电传播
"Endless Circuit",无穷环路
"Lightning Quick",迅如闪电
"Echoing Thunder",回响雷霆
"Essence of the Storm",风暴的精华
"Alternating Current",交流电涌
"Lightning Damage and Mana Regeneration",闪电伤害和魔力再生
"Lightning Damage and Electrocute Buildup",闪电伤害和电殛积蓄
"Archon of the Storm",风暴执政官
"Embodiment of Lightning",闪电化身
"Electric Blood",电震之血
"Chaos Damage and Duration",混沌伤害和持续时间
"Daze on Hit",击中时恍惚
"Withered Effect",死亡凋零效果
"Pure Chaos",纯粹混沌
"Dark Entries",没入黑暗
Spaghettification,扭曲湮没
"Event Horizon",黑洞界域
"Spiral into Insanity",疯乱螺旋
Stylebender,篡式者
Void,虚空
"Lingering Horror",延宕恐惧
"Wither Away",凋谢
"Physical Damage and Critical Chance",物理伤害和暴击率
Physical,物理
"Physical as Extra Chaos Damage",物理伤害专为额外混沌伤害
"Spell Critical Chance",法术暴击率
"Spell Critical Chance and Critical Ailment Effect",法术暴击率和暴击异常状态效果
"Armour Break",护甲破损
"Shatter Palm",溃裂掌
"Cut to the Bone",透骨之劲
"Staggering Palm",惊风掌
"Madness in the Bones",疯入骨髓
"Shredding Force",粉碎巨力
"Blood Tearing",崩裂血脉
"Tempered Mind",淬火之心
"Battle Fever",战斗狂热
Splinters,裂甲
"Material Solidification",材料固化
"Physical Life Recoup",物理生命回收
"Physical Damage and Life Recoup",物理伤害和生命回收
"Armour Break and Physical Damage",护甲破损与物理伤害
"Endured Suffering",忍受之苦
"Haemorrhaging Cuts",出血创口
"Rupturing Pins",破裂钉刺
"Bone Chains",白骨锁链
"Sanguine Tolerance",赤血耐受
"Elemental Penetration",元素穿透
"Speed with Elemental Skills",元素技能速度
Elemental,元素
"Elemental Damage and Freeze Buildup",元素伤害与冻结积蓄
"Elemental Damage and Shock Chance",元素伤害和感电几率
"Elemental Damage and Flammability Magnitude",元素伤害和易燃强度
"Unbound Forces",无拘之力
"Harness the Elements",驾驭元素
Stormcharged,风暴随身
"Exposure Effect",曝露效果
Overexposure,过量曝露
"Breaking Point",断裂点
"All Natural",纯粹自然
Stormbreaker,风暴克星
"Elemental Ailment Duration",元素异常状态持续时间
"Elemental Attack Damage",元素攻击伤害
"Primal Sundering",原始裂解
"Stripped Defences",剥夺防御
"DAMAGE FROM MANA",魔力提供伤害
"Mind Eraser",抹除心智
"Sturdy Mind",坚韧心灵
"Mana Blessing",魔力祝福
"Mental Toughness",心灵坚毅
"Mana Regeneration while not on Low Mana",未低魔时魔力再生
"Arcane Intensity",秘术激荡
"Raw Mana",源生魔力
"Adverse Growth",逆向增生
"Soul Bloom",灵魂盛放
"Mana Cost Efficiency",魔力消耗效能
"Investing Energies",挥霍能量
"Conservative Casting",节能施法
"Full Recovery",完全康复
"Arcane Blossom",秘术绽放
"Aspiring Genius",壮志奇才
"Open Mind",开阔思维
"Arcane Surge Effect",秘术增强效果
"Touch the Arcane",触染秘能
"Arcane Surge on Critical Hit",暴击时秘术增强
"Ether Flow",以太流动
"Mana on Kill",击败获得魔力
"Efficient Killing",高效溃敌
"Efficient Casting",高效施法
"Price of Freedom",自由的价码
"Mana Leech and Cold Resistance",魔力偷取和冰霜抗性
Suffusion,充盈弥散
Siphon,虹吸
"Manifold Method",集成绝学
"Immortal Thirst",不朽渴望
"Mana Flask Recovery",魔力药剂回复
"Mana Flask Charges",魔力药剂充能
"Mana Flask Charges Used",使用魔力药剂充能
"Altered Brain Chemistry",易思换灵
Wellspring,灵如泉涌
"Arcane Alchemy",秘术炼金
"Warding Potions",御敌药水
"Waters of Life",生命之水
"Accuracy and Critical Chance",命中与暴击率
"Determined Precision",果决精准
"Locked On",锁定
"Falcon Dive",猎鹰俯冲
"Near Sighted",凝近之视
"Far Sighted",远眺之目
"Sharp Sight",锋芒之目
"Accuracy and Attack Critical Chance",命中与攻击暴击率
"Pinpoint Shot",制导射击
"Precision Salvo",精准齐射
"Nimble Strength",灵巧力量
"Strike True",精准打击
"Herald Reservation",捷保留
"Herald Damage",捷伤害
"Coming Calamity",灾难使者
"Fate Finding",命运的束缚
Apocalypse,天启
Doomsayer,末日预言者
