"Lava Lash",熔岩之力
"Lightning Penetration",閃電穿透
"Shock Effect and Mana Regeneration",感電效果和魔力回復
"Pure Power",純粹電能
"Electrifying Nature",電能之性
"Sigil of Lightning",雷電符印
"Power Conduction",能量傳導
"Wild Storm",狂野風暴
"Path of Storms",風暴之途
"Flash Storm",電光風暴
"Spreading Shocks",擴散感電
"Endless Circuit",無限循環
"Lightning Quick",迅雷
"Echoing Thunder",迴盪雷電
"Essence of the Storm",暴風精髓
"Alternating Current",交流電
"Lightning Damage and Electrocute Buildup",閃電傷害及觸電累積
"Chaos Damage and Duration",混沌傷害和持續時間
"Withered Effect",凋零效果
"Pure Chaos",全然混沌
"Dark Entries",黑暗侵襲
Spaghettification,麵條化
"Event Horizon",事件視界
"Spiral into Insanity",瘋狂漩渦
Stylebender,風格轉換
Void,虛空
"Lingering Horror",殘留恐懼
"Wither Away",枯萎
"Physical Damage and Critical Chance",物理傷害和暴擊率
"Daze Buildup",目眩累積
Physical,物理
"Physical as Extra Chaos Damage",物理轉化為額外混沌傷害
"Spell Critical Chance",法術暴擊率
"Spell Critical Chance and Critical Ailment Effect",法術暴擊率和異常狀態效果暴擊
"Armour Break",護甲破壞
"Shatter Palm",粉碎之掌
"Cut to the Bone",刀刀見骨
"Staggering Palm",撼敵之掌
"Madness in the Bones",滲骨瘋狂
"Shredding Force",粉碎之力
"Blood Tearing",撕裂血肉
"Tempered Mind",冶鍊之意
"Battle Fever",戰鬥狂熱
"Elemental Penetration",元素穿透
"Speed with Elemental Skills",元素技能的速度
Elemental,元素
"Elemental Damage and Freeze Buildup",元素傷害與冰凍累積
"Elemental Damage and Shock Chance",元素傷害與感電機率
"Elemental Damage and Ignite Chance",元素傷害與點燃機率
"Unbound Forces",無縛之力
"Harness the Elements",駕馭元素
Stormcharged,雷霆充能
"Exposure Effect",暴曬效果
Overexposure,過度曝曬
"Breaking Point",臨界點
"All Natural",純然天性
Stormbreaker,風暴破壞者
"Elemental Ailment Duration",元素異常狀態持續時間
"Elemental Ailment Chance",元素異常狀態機率
"DAMAGE FROM MANA",魔力傷害
"Mind Eraser",心靈抹除
"Sturdy Mind",堅韌思維
"Mana Blessing",魔力祝福
Lucidity,夢醒
"Mental Toughness",強韌心理
"Mana Regeneration while not on Low Mana",非貧魔狀態下的魔力回復
"Arcane Intensity",秘能強化
"Raw Mana",原始魔力
"Adverse Growth",逆向增長
"Soul Bloom",靈魂綻放
"Reduced Mana Cost",減少魔力消耗
"Investing Energies",能量投入
"Conservative Casting",謹慎施法
"Full Recovery",完全恢復
"Arcane Blossom",秘能之花
"Aspiring Genius",野心天才
"Open Mind",敞開心胸
"Arcane Surge Effect",秘能波動效果
"Touch the Arcane",秘能之觸
"Arcane Surge on Critical Hit",暴擊時秘能波動
"Ether Flow",以太湧流
"Price of Freedom",自由代價
"Mana Leech and Cold Resistance",魔力偷取和冰冷抗性
Suffusion,瀰漫的
Siphon,虹吸
"Manifold Method",千方百計
"Immortal Thirst",不朽渴望
"Mana Flask Recovery",魔力藥劑回復
"Mana Flask Charges",魔力藥劑充能
"Mana Flask Charges Used",使用的魔力藥劑充能
"Altered Brain Chemistry",換腦化學
Wellspring,泉源
"Arcane Alchemy",秘能鍊金術
"Warding Potions",守護藥劑
"Waters of Life",生命之水
"Accuracy and Critical Chance",命中和暴擊率
"Determined Precision",精準果斷
"Locked On",已鎖定
"Falcon Dive",獵鷹下墜
"Near Sighted",近距離射手
"Far Sighted",遠距離射手
"Sharp Sight",銳利目光
"Accuracy and Attack Critical Chance",命中與攻擊暴擊率
"Pinpoint Shot",精確射擊
"Herald Reservation",保留捷光環
"Herald Damage",捷光環傷害
"Coming Calamity",災難臨頭
"Fate Finding",命運探尋
Apocalypse,天啟
Doomsayer,末日預言者
"Bolstering Presence",振奮光環
"Triggered Spell Damage",觸發法術傷害
Energy,能量
Energise,賦能
"Invocated Efficiency",祈願之語
Dynamism,活力
"Increased Duration",增加持續時間
Protraction,延伸效用
Preservation,保存實力
"Reduced Duration",減少持續時間
"Tides of Change",變革浪潮
Forthcoming,命運將至
"Link Buff Effect",連結增益效果
"Twinned Tethers",雙生束縛
"Strong Links",強力連結
"Spirit Bonds","
靈魂連結"
Shapeshifting,變形
"Swift Claw",迅捷之爪
"Tough Claw",堅韌之爪
"Sharpened Claw",鋒利之爪
"Bestial Rage",野獸狂怒
"Feral Force",野性之力
"Life Costs",生命消耗
"Critical Damage vs Full Life",對滿血敵人的暴擊傷害
"Damage vs Full Life",對滿血敵人的傷害
"First Approach",初次嘗試
"Damage against Enemies on Low Life",對貧血敵人造成的傷害
"Finishing Blows",終結之擊
"Stars Aligned",行列眾星
Finality,終結
"Mental Perseverance",堅毅心靈
"Two-Pronged Attack",雙叉攻擊
"Resourceful Ally",機智的盟友
"Sturdy Ally",強健的盟友
Unimpeded,暢通無阻
"Near at Hand",近在咫尺
"Debuff Expiry",減益效果失效
"Slow Effect",緩速效果
Duration,持續時間
"Time Manipulation",時間操縱
Chronomancy,時空法術
"Slow Effect and Hinder Duration",緩速效果和阻礙持續時間
"Hindered Capabilities",受阻之力
"Weapon Swap Speed",武器切換速度
"Quick-change Act",快速切換
"Elemental Attack Damage",元素攻擊傷害
Catalysis,催化
"Crystal Elixir",水晶靈藥
"Emboldened Avatar",勇氣化生
"Pocket Sand",口袋藏沙
Acceleration,加速
"Adrenaline Rush",腎上腺素
"Area Damage",範圍傷害
"Area Damage and Armour Break",範圍傷害和護甲破壞
"Primal Growth",原始成長
"Impact Area",衝擊範圍
Devastation,毀滅
"Impact Force",衝擊之力
Authority,權威
"Crushing Judgement",粉碎審判
"Reverberating Impact",迴響衝擊
Roil,翻騰
Repulsion,排斥
"Echoing Pulse",迴盪脈衝
Reverberation,回響
Ruin,毀壞
"Spell Damage and Projectile Speed",法術傷害與投射物速度
"Turn the Clock Back",時光倒流
"Turn the Clock Forward",時光前推
"Psychic Fragmentation",幽能碎片
"Radial Force",徑向力
"Cull the Hordes",剿敵
Giantslayer,泰坦殺手
"Attack Damage and Reduced Attack Speed",攻擊傷害與減緩的攻擊速度
"Ailment Effect and Reduced Attack Speed",異常狀態效果和減緩的攻擊速度
"Crushing Verdict",毀滅裁決
"Lasting Trauma",持久創傷
"Seeing Stars",見證群星
Stupefy,麻木
"Damage vs Dazed Enemies",擊中時目眩
"Attack Speed if Hit",擊中時獲得攻擊速度
"Armour if Hit",擊中時獲得護甲
"Thorns and Block",荊棘與格擋
Thorns,荊棘
Revenge,復仇
"Spiked Armour",尖刺護甲
Thornhide,荊棘之皮
"Thorn Critical Damage",荊棘暴擊傷害
"Armour while Surrounded",遭包圍時的護甲
"Evasion while Surrounded",遭包圍時的閃避值
"Attack Damage while Surrounded",遭包圍時的攻擊傷害
"In the Thick of It",深入其中
Sentinels,守望
"Silent Guardian",無聲守護者
"Bringer of Order",秩序使者
"Holy Protector",神聖保護者
"Attack Area Damage and Area",攻擊範圍傷害和範圍
Aftershocks,餘震
"Hold Focus",維持專注
"No Escape",無處可逃
"Break Focus",打破專注
"Marked for Sickness",病痛印記
"Mark Duration",印記持續時間
"Marked Agility",印記靈敏
Unsight,隱蔽
"Mark Effect and Blind Effect",印記效果和致盲機率
"Mark Effect and Blind Chance",印記效果和致盲機率
"Offering Life",奉獻生命
"Offering Duration",奉獻持續時間
Corpses,屍體
Stigmata,聖痕
"Meat Recycling",肉塊回收
"Offering Area",奉獻區域
"Lust for Sacrifice",渴求獻祭
"Damage against Ailments",對異常狀態者造成傷害
"Ailment Chance",異常狀態機率
"Vile Wounds",惡性創傷
Exploit,弱點針對
"Exploit the Elements",元素弱點
"Clean Shot",俐落射擊
"Stand and Deliver",攔路搶劫
"Death from Afar",遠迎死劫
Brutal,殘忍
Blur,模糊
"Honed Instincts",敏銳本能
"Raw Power",原始力量
"Pure Energy",純淨能量
Remorseless,殘酷無情
"Relentless Vindicator",無情護衛者
"Devoted Protector",至誠保衛者
"Flow Like Water",行雲流水
"Step Like Mist",騰雲踏霧
"Sudden Escalation",突發升級
"Critical Overload",暴擊超載
"Controlling Magic",操控魔法
"Attack and Spell Damage",攻擊和法術傷害
Equilibrium,均衡
"Knockback and Stun Buildup",擊退與暈眩累積
Knockback,擊退
Forcewave,力量震波
"Clear Space",清空區域
"Fire Penetration",火焰穿透
"Fire Penetration and Stun Buildup",火焰穿透與暈眩累積
"Exposed to the Inferno",暴露於煉獄之火
"Breath of Fire",火焰之息
Cremation,熔炎送葬
"Smoke Inhalation",吞雲吐霧
"Overheating Blow",過熱一擊
"Cold Penetration",冰冷穿透
"Shattered Crystal",碎裂水晶
"Ice Walls",冰牆
"Storm Swell",風暴浪潮
"Exposed to the Cosmos",暴露於宇宙
Snowpiercer,冰雪穿透
"Breath of Ice",寒冰之息
Glaciation,急凍化
Overload,過載
"Exposed to the Storm",暴露於風暴
"Storm Surge",風暴洶湧
"Surging Currents",湧動電流
"Electric Amplification",閃電增幅
"Lightning Rod",雷霆之杖
"Unarmed Damage",空手傷害
"Unarmed Area",空手地帶
"Unarmed Attack Speed",空手攻擊速度
"Way of the Wind",風之道
Flurry,突襲
"Stun and Freeze Buildup",暈眩與冰凍累積
"Armour Break Duration",護甲破壞持續時間
"Armour Break and Armour",護甲破壞與護甲
"Damage vs Armour Broken Enemies",對破甲敵人的傷害
"Armour Break and Physical Damage",護甲破壞與物理傷害
Breakage,破裂
"Pile On",堆砌
Irreparable,無可修復
"Cruel Methods",殘忍手段
"Jagged Ground Effect",碎裂地面效果
"Bleed Damage",流血傷害
Perforation,穿孔
"Spike Pit",尖刺陷阱
"Cooldown Recovery Rate",冷卻回復速度
"Distracting Presence",擾亂光環
Multitasking,一心多用
"Volatile Catalyst",易爆催化劑
"Ailment Chance and Effect",異常狀態機率和效果
Deterioration,惡化
"Exposed Wounds",暴露傷口
"Ailment Effect and Duration",異常狀態效果與持續時間
"Fast Acting Toxins",速效毒素
"Quiver Effect",箭袋效果
"Master Fletching",箭矢大師
"Grenade Cooldown Recovery Rate",擲彈冷卻時間恢復率
"Grenade Area",擲彈範圍
Grenadier,擲彈手
"Cluster Bombs",團簇炸彈
"Volatile Grenades",易爆擲彈
"Pin Buildup",釘身累積
"Pinned Down",動彈不得
"Pin and Run",釘帶跑
"Primal Protection",原始守護
"Vale Shelter",谷地庇護
"Thicket Warding",樹叢守護
"Lucky Rabbit Foot",幸運兔腳
"Woodland Aspect",木林祝福
"Hunter's Talisman",狩獵者巫符
"Charm Duration",護符持續時間
"Charm Charges Used",護符充能消耗
"Charm Effect",護符效果
"Charm Activation Chance",護符啟動機率
"Charm Charges",護符充能
Damage,傷害
"Giant's Blood",巨人之血
"Necromantic Talisman",靈能魔符
Resonance,共鳴
"Dance with Death",與死共舞
Oasis,幻景綠洲
Bulwark,守護
Titan,泰坦
Brute,野蠻
Infernalist,獄火師
"Blood Mage",血法師
Stormweaver,風暴編織者
Chronomancer,時空幻術師
Witchhunter,女巫獵人
Gambler,賭徒
"Master of the Elements",元素大師
"Acolyte of Chayula",夏烏拉侍僧
"Slam Area of Effect",重擊效果範圍
Earthbreaker,天崩地裂
"Ancestral Empowerment",先祖威能
"Surprising Strength",勢不可擋
"Crushing Impacts",輾壓痛擊
"Hulking Form",壓倒性的身姿
"Colossal Capacity",巨量承載
"Mysterious Lineage",神秘血脈
"Stone Skin",頑石鋼膚
"Block Chance",格擋率
"Anvil's Weight",沉砧之勢
"Imploding Impacts",碎猛之擊
"Jade Heritage",玉石之護
"Warcaller's Bellow",戰爭之哮
"Greatwolf's Howl",戰爭呼喚者的戰角
"Answered Call",先祖之引
"Wooden Wall",堅木之壘
"Renly's Training",倫利之訓
"Turtle Charm",靈龜之符
"Beidat's Gaze",貝達特之視
"Beidat's Hand",貝達特之手
"Beidat's Will",貝達意志
"Altered Flesh",變形肉體
"Demonic Possession",惡魔附身
"Mastered Darkness",黑暗精通
"Pyromantic Pact",火祭協議
"Bringer of Flame",火焰呼喚者
"Grinning Immolation",邪惡焚化
"Loyal Hellhound",忠誠獄犬
"Seething Body",沸騰軀體
"Bleed on Critical Chance",暴擊引起流血機率
"Gore Spike",血棘
"Sunder the Flesh",碎裂血肉
"Blood Barbs",鮮血荊棘
"Open Sores",開瘡
"Vitality Siphon",活力虹吸
"Grasping Wounds",緊扼傷口
"Chill Duration",冰緩持續時間
"Constant Gale",不變勁風
"Force of Will",意志之力
"Tempest Caller",暴風召喚者
"Rain Dancer",雨之舞者
"Strike Twice",二重打擊
"Heavy Snows",狂風暴雪
"Scouring Winds",橫掃之風
"Heart of the Storm",暴風之心
"Buff Expiry Rate",增益效果失效速度
"Debuff Expiry Rate",減益效果消逝速度
"Footprints in the Sand",沙中足跡
"Ultimate Command",終極指令
"Circular Heartbeat",心跳循環
"The Rapid River",急流
"Now and Again",再度上演
"Unbound Encore",無縛安可
"Apex of the Moment",巔峰時刻
"Quicksand Hourglass",流沙沙漏
"Damage vs Low Life Enemies",對貧血狀態的敵人造成的傷害
"Specialisation Points",專精點數
"Pitiless Killer",法官、陪審團與劊子手
"Judge, Jury, and Executioner",委任殺手
Witchbane,女巫殺手
"No Mercy",播種不諧
"Obsessive Rituals",清教徒知識
"Ceremonial Ablution",儀式淨身
"Zealous Inquisition",神聖授權
"Skill Gem Quality",技能寶石品質
Attributes,能力
"Crystalline Potential",結晶潛能
"Implanted Gems",植入寶石
"Gem Studded",鑲嵌的寶石
"Advanced Thaumaturgy",進階奇術
"Enhanced Effectiveness",強化效果
"Adaptive Capability",應變能力
"Integrated Efficiency",整合效率
"Thaumaturgical Infusion",奇術注入
"Lead me through Grace...",引我行恩典之途…
"...and Protect me from Harm",…並免我於傷痛
"I am the Thunder...",我即為雷鳴…
"I am the Blizzard...",我即為暴雪…
"...and I Shall Rage",…而我將怒號
"Sunder my Enemies...",粉碎我的敵人…
"...and Scatter Them to the Winds",……並驅散於長風之中
"Faith is a Choice",信仰即為抉擇
"The Soul Springs Eternal",魂魄永恆不息
Darkness,黑暗
"Ravenous Doubts",貪婪之慮
"Consuming Questions",煩心問題
"Reality Rending",碎裂現實
"Chayula's Gift",夏烏拉之禮
"Waking Dream",夢醒
"Lucid Dreaming",清晰夢境
"Embrace the Darkness",靈魂昇華
"Grasp of the Void",虛空之握
"Inner Silence",內在寂靜
"Projectile Proximity Specialisation",投射物近接專精
"Thrilling Chase",爆發
"Called Shots",預告射擊
"Eagle Eyes",潛意識
"Poison Effect",中毒效果
"Passive Points",天賦點數
"Running Assault",衝刺突擊
"Contagious Contamination",汙穢傳染
"Overwhelming Toxicity",懾人劇毒
"Connected Chemistry",連鎖化學
"Enduring Elixirs",耐久靈藥
"Brew Concoction",釀造靈藥
"Explosive Concoction",爆裂物
"Shattering Concoction",粉碎混合物
"Fulminating Concoction",烈性混合物
"Poisonous Concoction",毒藥
"Bleeding Concoction",流血混合物
"Traveller's Wisdom",旅者的智慧
"[Jewel] Socket",[Jewel|珠寶]插槽
"Aura Mastery",光環專精
"Charms Mastery",護符專精
"Crossbow Mastery",十字弓專精
"Fire Resistance Mastery",火焰抗性專精
"Flail Mastery",鏈錘專精
"Herald Mastery",捷光環專精
"Power Charge Mastery",暴擊球專精
"Quarterstaff Mastery",細杖專精
"Shapeshifting Mastery",變形專精
"Spear Mastery",長矛專精
"Grants Skill",賦予技能
Critical,暴擊傷害
"Crystalline Resistance",結晶抗性
"Gem Enthusiast",寶石愛好者
"Crystallised Immunities",水晶化免疫
"Spear Accuracy",長矛命中
"Focused Thrust",專注突刺
"Glancing Hits",側身擊中
"Parried Duration",格擋
"Stun Threshold during Parry",招架期間的暈眩門檻
"Resolute Reprisal",堅決反擊
"Projectile Parry Range",投射物招架範圍
"Evasion during Parry",招架期間閃避
"Defensive Stance",防禦姿態
"Block and Movement Penalty with Raised Shield",舉盾時格擋以及移動懲罰
"Movement Penalty with Raised Shield",舉盾時移動懲罰
"Block and Stun Threshold",格擋和暈眩門檻
"Dazing Blocks",目眩格擋
"Steadfast Resolve",穩當決心
"Maximum Block",最大格擋
"Frightening Shield",可怖重盾
"Rapid Reload",疾速裝填
"Efficient Loading",高效裝填
"Armour and Applies to Fire Damage",護甲值也會套用至火焰傷害
Heatproof,隔熱
"Armour and Applies to Cold Damage",護甲值也會套用至冰冷傷害
Chillproof,禦寒
"Armour and  Applies to Lightning Damage",護甲值也會套用至閃電傷害
Shockproof,防震
"Tempered Defences",緩和防禦
"Deflection and Evasion",偏斜和閃避
"Stun and Ailment Threshold from Energy Shield",能量護盾的暈眩和異常狀態門檻
"Tolerant Equipment",容錯裝置
"Armour Applies to Fire Damage Hits",護甲值套用於火焰傷害擊中
"Armour Applies to Cold Damage Hits",護甲值套用於冰冷傷害擊中
"Armour Applies to Lightning Damage Hits",護甲值套用於閃電傷害擊中
"Reduced Movement Penalty",移動懲罰減少
"Energy Shield Recoup",能量護盾補償
"Storm Driven",風暴驅動
"Swift Blocking",快速阻斷
"Parry Damage",招架傷害
"Parry Stun Buildup",招架暈眩累積
"Swift Interruption",迅速打斷
"Flashy Parrying",華麗招架
"Consistent Intake",持續承受
Counterstancing,反擊姿態
"Glancing Deflection",斜擦偏斜
"Brush Off",漠視
"Deflection Rating",偏斜值
"Enduring Deflection",恆久偏斜
"Avoiding Deflection",避免偏斜
"Energising Deflection",活力偏斜
"Evasion Rating",閃避值
"Staunch Deflection",冒險偏斜
"Trained Deflection",熟練偏斜
"Mending Deflection",癒合偏斜
"Wary Dodging",警覺躲避
"Stun Threshold and Evasion Rating",暈眩門檻和閃避值
Abasement,貶抑
"Ailment Threshold from Energy Shield",能量護盾的異常狀態門檻
"Shimmering Mirage",閃亮幻象
"Fire Damage and Armour ",火焰傷害及護甲
"Molten Carapace",熔岩魔甲
"Ignite Magnitude on You",你身上的點燃幅度
"One With Flame",與火合一
"Molten Being",熔火生命體
"Ignite Duration",點燃持續時間
"Melting Flames",融化烈焰
"Self Immolation",自焚
"Embracing Frost",擁抱冰霜
"Electrocuting Exposure",觸電曝曬
"Life Regeneration Rate",生命回復率
"Arcane Surge Effect and Life Regeneration",秘能波動效果和生命回復
"Life Regeneration Rate and Presence",生命回復率和存在範圍
"Sanguimantic Rituals",血咒儀式
"Heartstopping Presence",停頓心跳
"Blood of Rage",狂怒之血
"Lavianga's Brew",拉維安加之酒
"Tukohama's Brew",圖克哈瑪之酒
"Critical Chance and Damage",暴擊率與傷害
"Decisive Retreat",明哲保身
"Presence Area",存在範圍
"Evasion Rating on Hit Recently",近期擊中增加閃避值
"Agile Succession",敏捷演替
"Hastening Barrier",加速屏障
"Easy Target",易攻目標
"Later Rage Loss Start",最大盛怒
Incision,切割
"Inevitable Rupture",無免殘破
"Rusted Pins",生鏽鐵釘
"Thousand Cuts",千刀萬剮
"Staggering Wounds",撼敵創傷
"Incision Chance",切割機率
"Flammability Magnitude",易燃幅度
"Flammability and Ignite Magnitude",易燃幅度
"Ignite Magnitude",點燃幅度
"Lightning Damage and Resistance",閃電傷害和抗性
"Conductive Embrace",擁抱導電
"Toxic Tolerance",劇毒耐性
"Warcry Power Counted",戰吼計算強度
"Thirst of Kitava",奇塔弗的饑渴
"Empowered Attack Damage and Power Counted",強化攻擊傷害與計算強度
"Roaring Cries",震天哭喊
"Explosive Empowerment",爆裂物強化
"Cremating Cries",火化嚎叫
"Extinguishing Exhalation",熄滅吐息
"Inherited Strength ",承傳力量
"Decrepifying Curse",衰老詛咒
"Totem Cast and Attack Speed",圖騰施放與攻擊速度
"Splintering Force",分裂力量
"Minion Stun Buildup",召喚物暈眩累積
"Command Skill Damage",指令技能傷害
"Command Skill Cooldown",指令技能冷卻時間
"At your Command",任你指揮
"Minion Revive Speed and Energy Shield Recharge",召喚物復甦速度和能量護盾充能
"Reformed Barrier",重塑屏障
"Expendable Army",消耗軍團
"Minion Duration",召喚物持續時間
"Gigantic Following",巨大追隨者
"Spell and Minion Damage",法術和召喚物傷害
"Emboldening Lead",鼓舞領導
"Empowering Remains",賦能遺軍
"Melee and Stun",近戰和暈眩
"Ancestral Boosted Attack Damage and Stun",先祖強化攻擊傷害及暈眩
"Ancestral Boosted Area and Damage",先祖強化範圍及傷害
"Channelled Heritage",引導傳承
"Guided Hand",引領之手
"Last Stand",最後一博
"Attack Damage on Low Life",貧血狀態時的攻擊傷害
"Attack Damage if Stunned Recently",近期被暈眩的攻擊傷害
"Attack Damage while no remaining Life Flasks",沒有剩餘生命藥劑的攻擊傷害
"Daze Chance",目眩機率
"Concussive Attack",連續攻擊
"Imbibed Power",吸收之力
"Projectile Damage if Melee Hit",近戰擊中時為投射物傷害
"Melee Damage if Projectile Hit",投射物擊中時為近戰傷害
"Adaptable Assault",可適應攻擊
"Melee Stun Buildup",近戰暈眩累積
"Projectile Stun Buildup",投射物暈眩累積
"Unleash Fire",釋放火焰
"Flammability Magnitude and Critical Chance",點燃機率
"Critical Ignite Magnitude",點燃機率
"Affliction Enforcer",痛苦執行
"Fire Damage and Flammability Magnitude",火焰傷害
"Archon of the Flame",火焰統治者
"Embodiment of Flame",火焰的化身
"Archon Effect",統治者效果
"Cold Damage and Energy Shield Recharge Rate",冰冷傷害及能量護盾充能率
"Archon of the Blizzard",暴風雪統治者
"Embodiment of Frost",冰霜化身
"Energy Shield as Freeze Threshold",能量護盾為冰凍門檻
"Unbothering Cold",不寒而慄
"Elemental Force",元素之力
"Infused Spell Damage",灌注法術傷害
"Principal Infusion",主要灌注
"Lightning Damage and Mana Regeneration",閃電傷害和魔力回復
"Archon of the Storm",風暴統治者
"Embodiment of Lightning",閃電的化身
"Electric Blood",電氣之血
"Daze on Hit",擊中時目眩
Splinters,斷片
"Material Solidification",物質固化
"Physical Life Recoup",物理傷害和生命補償
"Physical Damage and Life Recoup",物理傷害和生命補償
"Endured Suffering",忍受痛苦
"Haemorrhaging Cuts",流血切口
"Rupturing Pins",破裂之針
"Bone Chains",骸骨連鎖
"Sanguine Tolerance",腥紅堅毅
"Elemental Damage and Flammability Magnitude",元素傷害與點燃幅度
"Primal Sundering",原始震擊
"Stripped Defences",剝離防禦
"Mana Cost Efficiency",魔力消耗效率
"Mana on Kill",擊殺時回復魔力
"Efficient Killing",高效獵殺
"Efficient Casting",高效施法
"Precision Salvo",精準齊射
"Nimble Strength",敏捷之力
"Strike True",真實打擊
"Agonising Calamity",慘痛災禍
"Enveloping Presence",無微不至
"Profane Commander",草根指揮官
"Attack Damage with Ally",與友方的攻擊傷害
"Ally Attack Damage",友方攻擊傷害
"Warlord Leader",總督軍領袖
"Warlord Berserker",總督軍暴徒
"Lone Warrior",獨行戰士
"Area and Presence",範圍和存在範圍
"All For One",萬眾歸一
"One For All",無私奉獻
"Invocation Spell Damage",祈願法術傷害
"Invocated Limit",祈願上限
"Invocated Echoes",祈願迴響
"Efficient Inscriptions",高效銘文
"Invocation Critical Damage",祈願暴擊傷害
"Precise Invocations",精確祈願
"Invocation Critical Hits",祈願暴擊
"Deadly Invocations",致命祈願
"Life Spell Damage and Costs",生命法術傷害與消耗
"Life Spell Costs",生命法術消耗
"Life Spell Damage",生命法術傷害
"Blood Transfusion",鮮血傳輸
"Sacrificial Blood",獻祭鮮血
"Damage and Companion Damage",傷害和盟友傷害
"Life Leech and Companion Damage",生命偷取和盟友傷害
"Defences and Companion Life",防禦和盟友生命
"Nourishing Ally",滋養的盟友
"Thirsting Ally",飢渴的盟友
"Slow Effect on You and Attack Speed",你身上的緩速效果和攻擊速度
"Lasting Boons",持續恩惠
"Waning Hindrances",衰退阻礙
"Temporal Mastery",時間專精
"Slow Effect on You and Debuff Expiry Rate",你身上的緩速效果及減益效果衰減率
"Steady Footing",穩固立足
"Damage vs Blinded",對受致盲者傷害
"Blind Effect",致盲效果
Disorientation,混亂攻擊
"Frantic Swings",狂亂揮擊
"Distracted Target",干擾目標
"Blinded Enemies Critical",致盲敵人暴擊
"Critical vs Blinded",對受致盲者的暴擊
"Splitting Ground",分裂地面
"Primed to Explode",準備引爆
"Detonator Area",引爆器範圍
"Spell Area Damage",法術範圍傷害
"Culling Strike Threshold",撲殺門檻
"Life and Mana on Kill",擊殺時回復生命和魔力
"Immobilisation Buildup",禁錮累積
"Bounty Hunter",賞金獵人
"Finish Them",了結他們
"Damage and Criticals vs Dazed Enemies",對目眩敵人造成的傷害及暴擊
"Criticals vs Dazed Enemies",擊中時目眩
"Daze Magnitude",目眩幅度
"Lightning and Cold Damage",擊中時目眩
"Shock Chance and Lightning Damage",感電機率和閃電傷害
"Freeze Buildup and Cold Damage",冰凍累積和冰冷傷害
"Shattering Daze",粉碎目眩
"Electrifying Daze",電光目眩
"Dizzying Hits",暈眩之擊
"Thorns and Leech",荊棘與偷取
"Thorns Ignore Armour",荊棘無視護甲值
"Armour and Evasion while Surrounded",遭包圍時的護甲和閃避
"Tactical Retreat",戰術性撤退
Paranoia,偏執
"Favourable Odds",有利形勢
"Frantic Fighter",瘋狂鬥士
"Banner Glory Gained",旗幟獲得榮耀
"Inspiring Leader",激昂之首
"Symbol of Defiance",衛道之符
"Reinforced Rallying",強化士氣
"Banner Area",旗幟範圍
Behemoth,巨獸
"Mark Use Speed",印記施放速度
"Offering Effect",奉獻效果
"Utmost Offering",至高奉獻
"Projectile Critical Chance",投射物暴擊率
Headshot,爆頭
Electrotherapy,電療
"Attack Damage and Combo",攻擊傷害與連擊
"Combo Gain",連擊獲得
"Chakra of Impact",衝擊脈輪
"Energy Shield Recharge and Delay",能量護盾充能與延遲
"Chakra of Rhythm",韻律脈輪
"Chakra of Breathing",呼吸脈輪
"Chaos Damage and Resistance",混沌傷害和抗性
"Distant Dreamer",遙遠幻夢者
"Energy and Critical Chance",能量和暴擊率
"Evocational Practitioner",喚起施行者
"Mana Regeneration and Attack Speed",魔力回復及攻擊速度
"Chakra of Thought",思維脈輪
"Chakra of Sight",視野脈輪
"Chakra of Life",生命脈輪
"Non-Damaging Ailment Magnitude",非傷害型異常狀態幅度
"Chakra of Elements",元素脈輪
"Chakra of Stability",穩定脈輪
"Armour Break Effect",護甲破壞效果
"The Molten One's Gift",熔岩者的禮物
"Passthrough Rounds",子彈貫穿
"Eroding Chains",侵蝕鎖鏈
"Punctured Lung",肺部破壞
"Projectile Ailment Chance",投射物異常狀態機率
"Wrapped Quiver",纏繞箭袋
"Reduced Projectile Speed",減少投射物速度
"Grenade Fuse Duration",擲彈引信時間
"Utility Ordnance",實用軍械
Demolitionist,破壞者
"Pin Duration",釘身持續時間
"Pin their Motivation",鎖定動機
"Sitting Duck",待宰羔羊
Lockdown,封鎖
"Easy Going",好相處
"Inspiring Ally",鼓舞人心的盟友
"Nurturing Guardian",滋養的守衛者
"Man's Beast Friend",動物夥伴
"Long Distance Relationship",遠距關係
"Unspoken Bond",不可言喻的連結
"Lifelong Friend",一生之友
"Tandem Assault",雙人出擊
"Presence Area and Companion Area",存在範圍區域和盟友區域
"Companion Reservation",盟友保留
"Sic 'Em",禁錮他們
"Companion Revive Speed",盟友復活速度
"Ailment Threshold and Companion Resistance",異常狀態門檻和盟友抗性
"Attack Speed and Companion Attack Speed",攻擊速度和盟友攻擊速度
"Shredding Contraptions",粉碎裝置
"Escalating Mayhem",升溫混亂
"Efficient Contraptions",效率裝置
"Hazard Rearm Chance",危險重新佈署機率
"Hazard Damage",危險傷害
"Hazard Duration",危險持續時間
"Delayed Gratification",危險傷害
"Hazard Area",危險區域
"Widespread Coverage",廣域覆蓋
"Hindering Obstacles",滯礙險阻
"Hazard Immobilisation Buildup",危險禁錮累積
"Infused Limits",灌注上限
"Infusing Power",灌注力量
"Everlasting Infusions",永恆灌注
"Empowering Infusions",強化灌注
"Infusion Chance",灌注機率
"Infusion Duration",灌注持續時間
"Infusion Consumption Chance",灌注消耗機率
"Frozen Limit",冰凍上限
"Infernal Limit",煉獄上限
